id,issue_id,summary,description,status,address,rating,lat,lng,url,user_id,created_at,updated_at,acknowledged_at,closed_at
1,1512303,Garbage / Recycling / Yard Waste,"Lots of litter in the median around the 3600, 3700, and 3800 block of New Bern Avenue!!  Please pick up asap!  Thanks!!",Open,"3800 Block Of New Bern Avenue Raleigh, North Carolina",1,35.7974863,-78.5759888,https://seeclickfix.com/api/v2/issues/1512303,0,2015-03-04T11:36:02-05:00,2015-03-04T11:36:02-05:00,,
2,1511218,After Hours / Critical Issues,Light pole has been struck by a car. It's mangled and leaning. ,Open,"North Carolina 50 & U.S. 401 Raleigh, NC 27603, USA",1,35.79430655,-78.64101187,https://seeclickfix.com/api/v2/issues/1511218,0,2015-03-03T23:10:30-05:00,2015-03-03T23:10:30-05:00,,
3,1510662,Garbage / Recycling / Yard Waste,"Lots of litter on the road, New Bern Avenue from around Wake Medical or at the 3000 block, all the way up to the Neuse River bridge, so around the 5200 block of New Bern Avenue, on both the sides and the median!!!  Please pick up asap.   Thank you so much for all of your help!  I hate litter!!!!   Also, there is litter along the old 64 East, that back or side road, someone has thrown out bags of trash and litter! Please pick up!!! Thanks!",Open,"5200 Block Of New Bern Avenue Raleigh, North Carolina",1,35.793227,-78.54859,https://seeclickfix.com/api/v2/issues/1510662,0,2015-03-03T14:33:06-05:00,2015-03-03T14:33:06-05:00,,
4,1509776,Parks / Greenways,Trees down across greenway on Simms Branch Trail between Cub Trail and Hiking Trail,Open,"Simms Branch Trail Raleigh, North Carolina",1,35.90158296,-78.59008332,https://seeclickfix.com/api/v2/issues/1509776,130116,2015-03-03T08:09:58-05:00,2015-03-03T08:09:58-05:00,,
5,1509257,Post to neighbors,Small tree has fallen across the sidewalk and part the street in the 1900 block of Fairview Road  obstrucking the sidewalk and view of on coming traffic.,Open,"1902 Fairview Rd Raleigh, North Carolina",2,35.803434,-78.644371,https://seeclickfix.com/api/v2/issues/1509257,451564,2015-03-02T19:13:16-05:00,2015-03-02T19:19:30-05:00,,
6,1508898,Protective fencing falling down,Fence that protects pedestrians from falling into creek on both sides of road here is falling into the creek. Lots of children walk to the elementary school here and this is very unsafe.,Open,"1213 North King Charles Road Raleigh, North Carolina",4,35.795637,-78.60558623,https://seeclickfix.com/api/v2/issues/1508898,0,2015-03-02T15:41:24-05:00,2015-03-02T16:58:01-05:00,,
7,1508598,After Hours / Critical Issues,"Litter on Starmount Dr 27604
Cook Out customers throw trash out into our neighborhood and the Shopping Ctr parking lot.  
The people cleaning the Starmount Shopping Ctr parking lot blow the trash into the street and into the creek. They don't pick it up, just add it to all the litter on Starmount Dr. ",Open,"3104 Starmount Drive Raleigh, North Carolina",1,35.82339818,-78.58648022,https://seeclickfix.com/api/v2/issues/1508598,0,2015-03-02T13:16:07-05:00,2015-03-02T13:16:07-05:00,,
8,1507719,Constant litter and trash dumping,"Hi,

The roadway and ditches are frequently covered by fast food waste, broken bottles, condoms, etc.  There's not much you can do, since people are animals, but maybe a nice ""No Littering - Fine"" sign would take care of 10-20% of it.  Kids wait for the bus in that area.

Thank you.",Open,"2325-2327 Hill Street Raleigh, North Carolina",3,35.81184647,-78.58831898,https://seeclickfix.com/api/v2/issues/1507719,0,2015-03-02T08:40:01-05:00,2015-03-03T14:54:44-05:00,,
9,1507614,Parks / Greenways,BAMBOO STICKS ON THE SIDEWALK,Open,"Newton Rd/Newton Way Raleigh, North Carolina",1,35.8797126,-78.6387973,https://seeclickfix.com/api/v2/issues/1507614,0,2015-03-01T22:39:38-05:00,2015-03-01T22:39:38-05:00,,
10,1507360,Garbage / Recycling / Yard Waste,This shopping center has no control over the waste that is left here day after day nor does it clean up. This trash has literally been here for weeks and nothing done. How do we hold this shopping center accountable?,Open,"425-451 Chapanoke Road Raleigh, North Carolina",5,35.7352069,-78.65274282,https://seeclickfix.com/api/v2/issues/1507360,65364,2015-03-01T14:57:25-05:00,2015-03-02T13:14:46-05:00,,
11,1506563,Garbage / Recycling / Yard Waste,2/28/2015. Waste Industries illegally collecting trash at Trophy Brewing Company @ 6:30. When is the CoR going to get serious about this? We've submitted pictures and we always just get excuses. The owners of Trophy ought to do the right thing for their neighbors too.,Open,"827 West Morgan Street Raleigh, NC 27603, USA",5,35.77969321,-78.6534566,https://seeclickfix.com/api/v2/issues/1506563,0,2015-02-28T06:56:17-05:00,2015-03-02T09:33:24-05:00,,
12,1506443,Mismangement of website schedule & 1/2 month refund,"#1 Please see attached screenshot of the website at http://www.raleighnc.gov/services/content/SolidWaste/Articles/ServiceSchedule.html

While snow may suspend service, it is inconsiderate and a mismanagement of the website to not update the schedule.so that people know you will not be picking up trash. 

# 2 It has now been half a month since trash has been picked up.  Please refund half a month's trash pickup fee. 

#3 It is not acceptable to keep cancelling pickups with no notification and no alternate.  We've had plenty of clear days when trash could have been picked up.
",Open,"North King Charles Raleigh, North Carolina",1,35.7878789,-78.6029862,https://seeclickfix.com/api/v2/issues/1506443,0,2015-02-27T19:57:38-05:00,2015-02-27T19:57:38-05:00,,
13,1506301,Post to neighbors,Big pile of cut/broken branches dumped over sidewalk and in street.,Open,"4500 Brockton Dr Raleigh, North Carolina",1,35.841828,-78.595481,https://seeclickfix.com/api/v2/issues/1506301,97019,2015-02-27T16:48:44-05:00,2015-02-27T16:48:44-05:00,,
14,1502972,Boarded up house - door kicked in,Front door wide open.,Open,203 Heck St,3,35.782527,-78.624978,https://seeclickfix.com/api/v2/issues/1502972,126233,2015-02-25T16:53:49-05:00,2015-03-02T14:57:06-05:00,,
